Hora,Psub(TR),Qsub(TR),FP(TR),Psub(SST),Qsub(SST),FP(SST),P (SST),Q (SST),S (SST)
101,12.8948,-8.037,0.8487,12.8827,-3.6044,0.9631,12.7171,4.4323,13.0
102,12.392,-8.0408,0.8389,12.3804,-3.7791,0.9565,12.227,4.2615,13.0
103,12.1992,-8.0423,0.8349,12.1878,-3.8461,0.9537,12.0389,4.196,13.0
104,13.1752,-8.0348,0.8538,13.1653,-3.5062,0.9664,12.9925,4.5283,14.0
105,12.2463,-8.042,0.8359,12.2343,-3.8299,0.9544,12.0844,4.2118,13.0
106,11.7348,-8.0459,0.8248,11.7231,-4.008,0.9463,11.5848,4.0377,12.0
107,10.2018,-8.0577,0.7847,10.1906,-2.8763,0.9625,10.0831,5.1811,11.0
108,11.5413,-8.0474,0.8203,11.5346,-2.1907,0.9825,11.3972,5.8563,13.0
109,12.1423,-8.0428,0.8337,12.1362,-1.8845,0.9882,11.984,6.1578,13.0
110,12.9461,-8.0366,0.8496,12.9421,-1.475,0.9936,12.7689,6.5611,14.0
111,12.4759,-8.0402,0.8406,12.4696,-1.715,0.9907,12.3089,6.3248,14.0
112,11.867,-8.0449,0.8277,11.8592,-2.0254,0.9857,11.714,6.0191,13.0
113,11.9373,-8.0443,0.8293,11.9303,-1.9893,0.9864,11.7833,6.0547,13.0
114,12.0455,-8.0435,0.8316,12.0388,-1.9341,0.9874,11.8891,6.109,13.0
115,12.7676,-8.0379,0.8463,12.7631,-1.5659,0.9926,12.5947,6.4716,14.0
116,12.0863,-8.0432,0.8325,12.0789,-1.9137,0.9877,11.9282,6.1292,13.0
117,11.8082,-8.0453,0.8264,11.8006,-2.0552,0.9852,11.6568,5.9897,13.0
118,10.1611,-8.058,0.7835,10.1497,-2.8972,0.9617,10.043,5.1605,11.0
119,12.6682,-8.0387,0.8444,12.6651,-1.6157,0.992,12.4993,6.4226,14.0
120,12.1359,-8.0428,0.8336,12.1288,-1.8883,0.9881,11.9768,6.1541,13.0
121,11.4662,-8.0479,0.8185,11.4576,-2.2299,0.9816,11.322,5.8177,13.0
122,12.7275,-8.0383,0.8455,12.7234,-1.5861,0.9923,12.556,6.4517,14.0
123,12.7493,-8.0381,0.8459,12.7442,-1.5755,0.9925,12.5763,6.4621,14.0
124,11.4138,-8.0484,0.8173,11.4046,-2.2569,0.981,11.2703,5.7911,13.0
125,11.6306,-8.0467,0.8224,11.6231,-2.1456,0.9834,11.4836,5.9007,13.0
126,11.9426,-8.0443,0.8294,11.9358,-1.9864,0.9864,11.7887,6.0575,13.0
127,11.8532,-8.045,0.8274,11.8459,-2.0322,0.9856,11.7009,6.0124,13.0
128,11.4875,-8.0478,0.819,11.4792,-2.2189,0.9819,11.3432,5.8285,13.0
129,10.6581,-8.0542,0.7978,10.6481,-2.6427,0.9706,10.5308,5.4111,12.0
130,11.9137,-8.0445,0.8288,11.9077,-2.0008,0.9862,11.7613,6.0434,13.0
131,10.2543,-8.0573,0.7863,10.243,-2.8496,0.9635,10.1344,5.2074,11.0
132,11.2982,-8.0492,0.8144,11.2908,-2.3149,0.9796,11.1591,5.734,13.0
133,11.2343,-8.0497,0.8129,11.2258,-2.348,0.9788,11.0956,5.7014,12.0
134,12.1148,-8.043,0.8331,12.1089,-1.8984,0.9879,11.9575,6.1442,13.0
135,11.7696,-8.0456,0.8255,11.7619,-2.075,0.9848,11.619,5.9703,13.0
136,11.2287,-8.0498,0.8127,11.2198,-2.3511,0.9788,11.0898,5.6983,12.0
137,9.7142,-8.0614,0.7695,9.7025,-3.1259,0.9519,9.6047,4.9352,11.0
138,12.1112,-8.043,0.833,12.1066,-1.8996,0.9879,11.9552,6.143,13.0
139,11.5691,-8.0472,0.8209,11.5608,-2.1773,0.9827,11.4228,5.8695,13.0
140,11.5392,-8.0474,0.8202,11.5313,-2.1924,0.9824,11.394,5.8547,13.0
141,10.198,-8.0577,0.7846,10.1869,-2.8782,0.9624,10.0795,5.1792,11.0
142,11.5036,-8.0477,0.8194,11.4968,-2.21,0.982,11.3603,5.8373,13.0
143,10.694,-8.0539,0.7988,10.684,-2.6244,0.9712,10.566,5.4292,12.0
144,10.9187,-8.0522,0.8048,10.9099,-2.5091,0.9746,10.7869,5.5427,12.0
145,12.1979,-8.0423,0.8349,12.1925,-1.8559,0.9886,12.0389,6.186,14.0
146,9.5807,-8.0625,0.7651,9.568,-3.1947,0.9486,9.4728,4.8675,11.0
147,10.5749,-8.0548,0.7955,10.5662,-2.6845,0.9693,10.4507,5.37,12.0
148,12.3674,-8.041,0.8384,12.3629,-1.7692,0.9899,12.205,6.2714,14.0
149,11.283,-8.0494,0.8141,11.2737,-2.3236,0.9794,11.1424,5.7254,13.0
150,11.8949,-8.0447,0.8283,11.8883,-2.0106,0.986,11.7424,6.0336,13.0
151,9.7459,-8.0612,0.7706,9.7337,-3.1099,0.9527,9.6353,4.951,11.0
152,10.1288,-8.0582,0.7826,10.1189,-2.913,0.961,10.0129,5.145,11.0
153,11.5008,-8.0477,0.8193,11.494,-2.2114,0.982,11.3576,5.8359,13.0
154,12.6169,-8.0391,0.8434,12.6124,-1.6425,0.9916,12.448,6.3962,14.0
155,11.3696,-8.0487,0.8162,11.3603,-2.2795,0.9805,11.2271,5.7689,13.0
156,12.9753,-8.0363,0.8501,12.9722,-1.4598,0.9937,12.7981,6.5761,14.0
157,10.462,-8.0557,0.7923,10.4503,-2.7437,0.9673,10.3373,5.3117,12.0
158,11.0347,-8.0513,0.8078,11.0264,-2.4497,0.9762,10.9008,5.6012,12.0
159,10.8905,-8.0524,0.8041,10.8814,-2.5237,0.9742,10.759,5.5284,12.0
160,11.092,-8.0508,0.8093,11.0835,-2.4206,0.977,10.9566,5.6299,12.0
161,11.1142,-8.0507,0.8099,11.1056,-2.4093,0.9773,10.9782,5.641,12.0
162,9.8704,-8.0602,0.7746,9.859,-3.0458,0.9555,9.7581,5.0141,11.0
163,11.7718,-8.0456,0.8256,11.7661,-2.0728,0.9848,11.6231,5.9724,13.0
164,11.3813,-8.0486,0.8165,11.3728,-2.2731,0.9806,11.2392,5.7751,13.0
165,11.4734,-8.0479,0.8187,11.4654,-2.2259,0.9817,11.3297,5.8216,13.0
166,10.6641,-8.0541,0.798,10.6541,-2.6396,0.9707,10.5367,5.4141,12.0
167,11.0877,-8.0509,0.8092,11.0793,-2.4227,0.977,10.9525,5.6278,12.0
168,10.6046,-8.0546,0.7963,10.5947,-2.6699,0.9697,10.4786,5.3843,12.0
169,11.2668,-8.0495,0.8137,11.259,-2.3311,0.9793,11.128,5.718,13.0
170,11.4319,-8.0482,0.8177,11.4239,-2.2471,0.9812,11.2892,5.8008,13.0
171,10.9368,-8.052,0.8053,10.9274,-2.5002,0.9749,10.804,5.5515,12.0
172,10.9745,-8.0517,0.8063,10.9656,-2.4807,0.9754,10.8414,5.5707,12.0
173,10.9405,-8.052,0.8054,10.9315,-2.4981,0.9749,10.8081,5.5536,12.0
174,11.1265,-8.0506,0.8102,11.118,-2.403,0.9775,10.9903,5.6472,12.0
175,10.8952,-8.0523,0.8042,10.886,-2.5213,0.9743,10.7635,5.5307,12.0
176,10.8877,-8.0524,0.804,10.8786,-2.5251,0.9741,10.7563,5.527,12.0
177,10.8202,-8.0529,0.8022,10.811,-2.5596,0.9731,10.6902,5.493,12.0
178,10.7031,-8.0538,0.799,10.6936,-2.6195,0.9713,10.5754,5.434,12.0
179,11.8829,-8.0447,0.8281,11.8768,-2.0165,0.9859,11.7311,6.0279,13.0
180,12.5947,-8.0393,0.8429,12.5898,-1.654,0.9915,12.426,6.3849,14.0
181,10.5971,-8.0546,0.7961,10.586,-2.6744,0.9696,10.4701,5.3799,12.0
182,11.6506,-8.0465,0.8228,11.6438,-2.1351,0.9836,11.5038,5.9111,13.0
183,10.9815,-8.0517,0.8065,10.9721,-2.4774,0.9755,10.8477,5.5739,12.0
184,11.3094,-8.0492,0.8147,11.3014,-2.3095,0.9798,11.1695,5.7393,13.0
185,11.7487,-8.0458,0.8251,11.7416,-2.0853,0.9846,11.5992,5.9601,13.0
186,11.2154,-8.0499,0.8124,11.2065,-2.3579,0.9786,11.0767,5.6916,12.0
187,10.0002,-8.0592,0.7786,9.989,-2.9794,0.9584,9.8855,5.0795,11.0
188,11.6184,-8.0468,0.8221,11.612,-2.1513,0.9833,11.4728,5.8951,13.0
189,10.9039,-8.0523,0.8044,10.8943,-2.5171,0.9744,10.7716,5.5349,12.0
190,11.2965,-8.0493,0.8144,11.2885,-2.3161,0.9796,11.1569,5.7328,13.0
191,10.1657,-8.058,0.7837,10.1548,-2.8946,0.9618,10.048,5.163,11.0
192,10.6585,-8.0542,0.7978,10.6495,-2.642,0.9706,10.5322,5.4118,12.0
193,11.687,-8.0463,0.8237,11.6803,-2.1165,0.984,11.5394,5.9294,13.0
194,12.4651,-8.0403,0.8403,12.4599,-1.7199,0.9906,12.2995,6.3199,14.0
