Hora,Psub(TR),Qsub(TR),FP(TR),Psub(SST),Qsub(SST),FP(SST),P (SST),Q (SST),S (SST)
623,37.7204,12.1061,0.9522,37.4163,-5.4043,0.9899,35.7088,0.0006,36.0
624,37.5393,12.0167,0.9524,37.233,-5.4138,0.9898,35.542,0.0006,36.0
625,37.0478,11.774,0.953,36.7493,-5.4385,0.9894,35.1016,0.0006,35.0
626,37.4909,11.9928,0.9525,37.1908,-5.4159,0.9897,35.5036,0.0006,36.0
627,37.4312,11.9633,0.9525,37.1281,-5.4191,0.9897,35.4466,0.0006,35.0
628,37.6946,12.0933,0.9522,37.3886,-5.4057,0.9899,35.6836,0.0006,36.0
629,36.995,11.7479,0.9531,36.696,-5.4412,0.9894,35.053,0.0006,35.0
630,37.6267,12.0598,0.9523,37.3253,-5.409,0.9898,35.626,0.0006,36.0
631,37.459,11.977,0.9525,37.1545,-5.4178,0.9897,35.4706,0.0006,35.0
632,36.9804,11.7407,0.9531,36.6835,-5.4418,0.9893,35.0416,0.0006,35.0
633,37.3194,11.9081,0.9527,37.022,-5.4246,0.9896,35.35,0.0006,35.0
634,38.6383,12.5592,0.951,38.3106,-5.3576,0.9905,36.5212,0.0006,37.0
635,37.1403,11.8197,0.9529,36.8428,-5.4337,0.9895,35.1868,0.0006,35.0
636,37.1766,11.8376,0.9529,36.8797,-5.4319,0.9895,35.2204,0.0006,35.0
637,37.1175,11.8084,0.9529,36.8211,-5.4348,0.9894,35.167,0.0006,35.0
638,38.0724,12.2799,0.9517,37.7568,-5.3866,0.9901,36.0184,0.0006,36.0
639,38.1307,12.3087,0.9516,37.8136,-5.3837,0.9902,36.07,0.0006,36.0
640,37.6376,12.0652,0.9523,37.3266,-5.4089,0.9898,35.6272,0.0006,36.0
641,37.3089,11.9029,0.9527,37.0062,-5.4254,0.9896,35.3356,0.0006,35.0
642,37.7784,12.1347,0.9521,37.4724,-5.4014,0.9899,35.7598,0.0006,36.0
643,37.7456,12.1185,0.9521,37.4361,-5.4033,0.9899,35.7268,0.0006,36.0
644,37.0301,11.7653,0.9531,36.7302,-5.4395,0.9894,35.0842,0.0006,35.0
645,37.4066,11.9512,0.9526,37.1077,-5.4202,0.9897,35.428,0.0006,35.0
646,37.7712,12.1312,0.9521,37.4645,-5.4018,0.9899,35.7526,0.0006,36.0
647,36.8057,11.6545,0.9533,36.5156,-5.4504,0.9892,34.8886,0.0006,35.0
648,37.4007,11.9483,0.9526,37.1037,-5.4204,0.9897,35.4244,0.0006,35.0
649,37.0006,11.7507,0.9531,36.7039,-5.4408,0.9894,35.0602,0.0006,35.0
650,38.4097,12.4464,0.9513,38.0871,-5.3694,0.9904,36.3184,0.0006,36.0
651,37.2928,11.895,0.9527,36.9924,-5.4261,0.9896,35.323,0.0006,35.0
