Hora,Psub(TR),Qsub(TR),FP(TR),Psub(SST),Qsub(SST),FP(TR),P Global (TR),Q Global (TR),FP Global(TR),P Global (SST),Q Global(SST),FP Global (SST),P (SST),Q (SST)
93,21.9693,6.1649,0.9628,21.9071,-4.3473,0.981,65.9315,18.5047,0.9628,130.115,18.1453,0.9904,21.4651,0.0018,21.0
94,20.836,5.5795,0.966,20.7787,-4.3973,0.9784,62.5187,16.7429,0.966,123.4764,16.4197,0.9913,20.3805,0.0017,20.0
95,22.2249,6.2967,0.9621,22.157,-4.3359,0.9815,66.6876,18.8956,0.9621,131.5842,18.5279,0.9902,21.705,0.0018,22.0
96,21.102,5.7167,0.9652,21.0426,-4.3858,0.9791,63.3165,17.1543,0.9652,125.0293,16.8229,0.9911,20.6343,0.0017,21.0
97,22.5339,6.4566,0.9613,22.4633,-4.3218,0.9821,67.6144,19.3752,0.9613,133.3846,18.9972,0.99,21.9988,0.0018,22.0
98,20.9022,5.6136,0.9658,20.8442,-4.3944,0.9786,62.7167,16.8449,0.9658,123.8618,16.5197,0.9912,20.4435,0.0017,20.0
99,20.957,5.6419,0.9656,20.8994,-4.392,0.9787,62.8836,16.931,0.9656,124.1867,16.6041,0.9912,20.4966,0.0017,20.0
100,21.0122,5.6704,0.9655,20.9542,-4.3897,0.9789,63.0491,17.0164,0.9655,124.5089,16.6877,0.9911,20.5492,0.0017,21.0
101,21.4969,5.9207,0.9641,21.4372,-4.3684,0.98,64.51,17.7703,0.9641,127.3512,17.4262,0.9908,21.0137,0.0017,21.0
102,21.2638,5.8,0.9648,21.2022,-4.3788,0.9794,63.7992,17.4033,0.9648,125.9684,17.0668,0.9909,20.7878,0.0017,21.0
103,22.0114,6.1866,0.9627,21.9488,-4.3454,0.9811,66.0577,18.5699,0.9627,130.3603,18.2092,0.9904,21.5051,0.0018,22.0
104,21.0548,5.6918,0.9653,20.9911,-4.3881,0.979,63.1609,17.074,0.9653,124.7264,16.7442,0.9911,20.5848,0.0017,21.0
105,21.5633,5.955,0.9639,21.5032,-4.3655,0.9801,64.7098,17.8734,0.9639,127.7397,17.5272,0.9907,21.0771,0.0018,21.0
