P1,P2,P3,P,,Q1,Q2,Q3,Q,,,,S1,S2,S3,S,,FP1,FP2,FP3,FPTotal,,
439.5396279,582.3071597,623.8117936,1645.66,,-13.39129558,-143.7436921,45.07279202,-112.06,,0.963242497,,439.7435745,599.7865264,625.4380148,1649.469642,,0.999536215,0.970857354,0.997399868,0.997689523,0.92,1
419.4707149,553.9510212,596.2363677,1569.66,,-23.11804145,-149.587193,30.11077932,-142.59,,0.968825521,,420.1072774,573.7926997,596.996202,1576.121741,,0.998484762,0.965420127,0.998727238,0.995899024,0.92,1
431.5694028,571.0405673,612.8535742,1615.46,,-17.26709425,-146.0724557,39.11583219,-124.22,,0.96544981,,431.914693,589.4272575,614.1006039,1620.232698,,0.999200559,0.968805837,0.99796934,0.997056501,0.92,1
432.9751289,573.0272317,614.7857089,1620.79,,-16.58472876,-145.6624621,40.16503044,-122.08,,0.965059851,,433.2926441,591.2510136,616.0963378,1625.379346,,0.999267204,0.969177589,0.997872688,0.997175258,0.92,1
432.9905752,573.0490927,614.8069835,1620.85,,-16.57716345,-145.6579031,40.17658303,-122.06,,0.965054328,,433.3077896,591.2710778,616.1183204,1625.435985,,0.999267924,0.969181674,0.997871615,0.997176552,0.92,1
479.5559944,638.9785639,678.9688596,1797.50,,6.328291034,-131.8911732,75.28254573,-50.28,,0.952471099,,479.5977471,652.4483786,683.1296904,1798.206509,,0.999912942,0.979354973,0.993909164,0.999609004,0.92,1
407.969579,537.7202137,580.4592332,1526.15,,-28.64362331,-152.9060199,21.59255567,-159.96,,0.972053049,,408.97388,559.0378155,580.8607061,1534.508755,,0.997544339,0.961867335,0.999308831,0.994552179,0.92,1
438.0415863,580.1889175,621.7514302,1639.98,,-14.12107374,-144.1822428,43.95168902,-114.35,,0.963657287,,438.2691365,597.8358463,623.3029697,1643.963819,,0.999480798,0.970481983,0.997510778,0.997577875,0.92,1
404.7379318,533.1620981,576.0293386,1513.93,,-30.19001264,-153.8346,19.20626438,-164.82,,0.972963827,,405.8623293,554.9116209,576.3494422,1522.874657,,0.997229609,0.960805429,0.999444602,0.994126051,0.92,1
380.4502724,498.9399327,542.782311,1422.17,,-41.7236271,-160.7584577,1.374019055,-201.11,,0.979763217,,382.7313298,524.1987583,542.7840501,1436.321385,,0.994040056,0.951814412,0.999996796,0.990149232,0.92,1
418.5587883,552.6636096,594.9847401,1566.21,,-23.5573529,-149.8511719,29.43391205,-143.97,,0.969084047,,419.2211923,572.6189301,595.7123435,1572.810697,,0.998419917,0.965150785,0.9987786,0.995801428,0.92,1
397.0826138,522.3687872,565.5413042,1484.99,,-33.84210471,-156.02748,13.566346,-176.30,,0.975116623,,398.5221327,545.1731141,565.7039973,1495.421735,,0.996387857,0.958170485,0.999712406,0.993026027,0.92,1
422.4533305,558.162621,600.3310412,1580.95,,-21.67916551,-148.7230088,32.32657087,-138.08,,0.9679928,,423.0092229,577.6366028,601.2007703,1586.965112,,0.998685862,0.966286794,0.998553347,0.996207781,0.92,1
385.8509664,506.5444749,550.1683137,1442.56,,-39.1723227,-159.2272662,5.323816533,-193.08,,0.978261331,,387.8342934,530.9808164,550.1940716,1455.427237,,0.994886148,0.953978862,0.999953184,0.991161714,0.92,1
432.032861,571.6954965,613.490531,1617.22,,-17.0422157,-145.9372686,39.46161458,-123.52,,0.965323055,,432.3688589,590.0283274,614.7583677,1621.928974,,0.999222891,0.968928897,0.997937667,0.997095998,0.92,1
395.9534455,520.7773313,563.9949903,1480.73,,-34.37953218,-156.3500927,12.73593569,-177.99,,0.975433176,,397.4431824,543.7410968,564.1387712,1491.385447,,0.996251698,0.957767096,0.999745132,0.992852499,0.92,1
443.4775673,587.8762657,629.2293809,1660.58,,-11.46999345,-142.5891881,48.02329149,-106.04,,0.9621606,,443.625871,604.9216316,631.059308,1663.96521,,0.999665701,0.971822192,0.997100229,0.997967508,0.92,1
390.7401937,513.43137,556.8581589,1461.03,,-36.85614003,-157.8368339,8.907101775,-185.79,,0.97689448,,392.4745521,537.1445223,556.9293901,1472.794704,,0.995580966,0.955853311,0.9998721,0.992011798,0.92,1
393.2464256,516.9624913,560.2887052,1470.50,,-35.66642159,-157.1227802,10.74673526,-182.04,,0.976195668,,394.8605386,540.3126738,560.3917608,1481.722888,,0.995912195,0.956783944,0.999816101,0.99242418,0.92,1
395.7368932,520.4721631,563.6985103,1479.91,,-34.48251455,-156.4119558,12.57684794,-178.32,,0.975496963,,397.2363685,543.466625,563.8387958,1490.611814,,0.996225232,0.957689284,0.999751196,0.99281889,0.92,1
412.375779,543.9367772,586.5014617,1542.81,,-26.53089845,-151.6370976,24.85120154,-153.32,,0.97081838,,413.2283529,564.6778082,587.0277224,1550.413214,,0.997936797,0.963269265,0.999103517,0.9950986,0.92,1
405.2945145,533.9471804,576.7922531,1516.03,,-29.92387134,-153.6747816,19.61707376,-163.98,,0.972803535,,406.3976889,555.6217508,577.1257513,1524.87668,,0.997285481,0.960990421,0.999422139,0.994201018,0.92,1
430.6116084,569.6870661,611.5373613,1611.84,,-17.73175416,-146.3515679,38.40131035,-125.68,,0.965716897,,430.9765335,588.1854594,612.7418746,1616.728603,,0.99915326,0.968550067,0.998034224,0.996973786,0.92,1
399.681044,526.0316446,569.1002809,1494.81,,-32.60420052,-155.284236,15.47864517,-172.41,,0.974386064,,401.0086917,548.4728663,569.3107396,1504.722881,,0.99668923,0.959084172,0.999630327,0.993414128,0.92,1
417.2759081,550.8526252,593.2242068,1561.35,,-24.17515431,-150.2222873,28.48209981,-145.92,,0.96944274,,417.9756231,570.9687822,593.9075598,1568.156136,,0.998325943,0.964768377,0.998849395,0.995661532,0.92,1
394.128052,518.2049777,561.4958051,1473.83,,-35.24738245,-156.8711486,11.39447437,-180.72,,0.975945969,,395.7010226,541.4286252,561.6114076,1484.867879,,0.996024851,0.957106724,0.999794159,0.992565639,0.92,1
362.2288252,473.3052494,517.8920568,1353.43,,-50.2753451,-165.8898679,-11.88751085,-228.05,,0.984729845,,365.7011514,501.5349513,518.0284697,1372.505132,,0.990505017,0.943713391,0.999736669,0.986099141,0.92,1
347.435951,452.5187641,497.717807,1297.67,,-57.15484149,-170.0158281,-22.58100417,-249.75,,0.98857355,,352.1056886,483.4031585,498.2297835,1321.48775,,0.986737682,0.936110483,0.998972409,0.981978473,0.92,1
421.6342574,557.0060117,599.2065378,1577.85,,-22.07459221,-148.9604569,31.71785911,-139.32,,0.968220924,,422.2117178,576.5803628,600.0454129,1583.985425,,0.998632297,0.966050958,0.998601981,0.996124574,0.92,1
375.0174735,491.293378,535.3565832,1401.67,,-44.28239036,-162.2941449,-2.590351149,-209.17,,0.981262154,,377.6228747,517.4056173,535.36285,1417.188196,,0.993100521,0.949532362,0.999988294,0.9890482,0.92,1
413.4578715,545.4638213,587.9857645,1546.91,,-26.01121833,-151.324996,25.65234163,-151.68,,0.970515404,,414.2752647,566.065398,588.5450721,1554.326439,,0.998026932,0.96360566,0.999049678,0.995226883,0.92,1
409.25294,539.5305175,582.2186696,1531.00,,-28.02887099,-152.5367407,22.54097992,-158.02,,0.971692292,,410.2116363,560.6787285,582.6548506,1539.135893,,0.997662923,0.962281053,0.99925139,0.994715369,0.92,1
461.2451315,613.0246713,653.7008593,1727.97,,-2.749238689,-137.3480454,61.39631068,-78.70,,0.957330173,,461.2533248,628.222678,656.5777337,1729.761964,,0.999982237,0.97580793,0.99561838,0.998964423,0.92,1
400.1294757,526.6639212,569.7146772,1496.51,,-32.3903372,-155.1557608,15.80893804,-171.74,,0.974258781,,401.4383281,549.0429819,569.9339751,1506.33,,0.996739593,0.959239875,0.999615222,0.993479566,0.92,1
382.0752526,501.2276653,545.0041867,1428.31,,-40.95682596,-160.2983151,2.561482979,-198.69,,0.979312633,,384.2641803,526.2363749,545.010206,1442.061148,,0.994303586,0.952476281,0.999988955,0.990462233,0.92,1
359.689029,469.7348225,514.4262323,1343.85,,-51.46049672,-166.6006923,-13.72812606,-231.79,,0.985404875,,363.3515932,498.4040471,514.609376,1363.69327,,0.989920055,0.942477946,0.999644111,0.985448937,0.92,1
395.9998417,520.8427562,564.0585978,1480.90,,-34.35731506,-156.3367323,12.77006037,-177.92,,0.975422754,,397.4874837,543.7999177,564.2031338,1491.551305,,0.996257386,0.957783808,0.999743823,0.992859709,0.92,1
335.1935499,435.3325291,481.0434696,1251.57,,-62.80587949,-173.4036099,-31.38183709,-267.59,,0.991547835,,341.0268236,468.5970794,482.0660114,1279.856028,,0.982894971,0.929012468,0.997878834,0.977898702,0.92,1
372.2620225,487.4162317,531.5918514,1391.27,,-45.57720795,-163.0711382,-4.597645882,-213.25,,0.982019323,,375.0417247,513.9715741,531.6117331,1407.517801,,0.992588285,0.948333052,0.999962601,0.98845649,0.92,1
398.5983143,524.5054078,567.6173317,1490.72,,-33.12011753,-155.5939315,14.68162235,-174.03,,0.974692541,,399.9719469,547.097244,567.8071726,1500.845277,,0.996565678,0.958705995,0.99966566,0.993254319,0.92,1
365.4961994,477.8994572,522.3519579,1365.75,,-48.74828612,-164.9736351,-9.51693528,-223.24,,0.983854132,,368.7327856,505.5731316,522.4386471,1383.872152,,0.991222407,0.945262767,0.999834068,0.986903026,0.92,1
414.5245038,546.9691469,589.4489953,1550.94,,-25.49863629,-151.0171367,26.44247014,-150.07,,0.970216356,,415.3080119,567.4340695,590.041797,1558.186474,,0.998113429,0.963934272,0.998995322,0.995351116,0.92,1
380.2025823,498.5913273,542.4437547,1421.24,,-41.84049243,-160.8287423,1.193088485,-201.48,,0.979831538,,382.4978828,523.888534,542.4450667,1435.447364,,0.993999181,0.951712616,0.999997581,0.990100856,0.92,1
456.9084653,606.8833472,647.7237731,1711.52,,-4.885647575,-138.6321643,58.12315921,-85.39,,0.958495808,,456.9345853,622.5160834,650.3263703,1713.644609,,0.999942837,0.97488782,0.995998014,0.998757605,0.92,1
